listing_id,url,price_egp,location_text,type,ownership,area_sqm,bedrooms,bathrooms,furnished,payment_option,completion_status,amenities,amenities_count,city,district,price_per_sqm
503203361,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-sheikh-zayed-city-future-buildings-second-floor-with-kitchen-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%A7%D9%84%D8%B4%D9%8A%D8%AE-%D8%B2%D8%A7%D9%8A%D8%AF-%D8%B9%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%AF%D9%88%D8%B1-%D8%AB%D8%A7%D9%86%D9%8A-%D8%A8%D8%A7%D9%84%D9%85%D8%B7%D8%A8%D8%AE-ID503203361.html,3100000.0,"Sheikh Zayed, Giza",Apartment,Resale,71.0,2.0,1.0,No,Cash,Ready,Water Meter|Electricity Meter,2,Giza,Sheikh Zayed,43661.971830985916
503171146,https://www.dubizzle.com.eg/en/ad/apartment-3-bedrooms-and-2-bathrooms-in-al-ajami-al-makhil-alexandria-ID503171146.html,1180000.0,"Nakheel, Alexandria",Apartment,Primary,140.0,3.0,2.0,No,Cash or Installment,Ready,Electricity Meter|Water Meter|Covered Parking|Landline|Pets Allowed,5,Alexandria,Nakheel,8428.57142857143
502962823,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-244-m-smouha-turnout-from-fawzy-moaz-st-ID502962823.html,11250000.0,"Smoha, Alexandria",Apartment,Resale,244.0,3.0,2.0,No,Cash,Ready,Security|Electricity Meter|Water Meter|Balcony|Natural Gas|Elevator,6,Alexandria,Smoha,46106.55737704918
503169689,https://www.dubizzle.com.eg/en/ad/your-new-home-is-waiting-for-you-in-the-heart-of-smouha-ID503169689.html,17400000.0,"Smoha, Alexandria",Apartment,Primary,290.0,4.0,3.0,No,Cash or Installment,Ready,Security|Electricity Meter|Water Meter|Balcony|Covered Parking|Pets Allowed,6,Alexandria,Smoha,60000.0
503082486,https://www.dubizzle.com.eg/en/ad/the-best-opportunity-a-ground-floor-apartment-with-a-large-garden-in-mountain-view-icity-october-the-lake-phase-prime-location-ID503082486.html,6900000.0,"Mountain View iCity Compound, 6th of October",Apartment,Resale,140.0,3.0,3.0,Unknown,Installment,Ready,Private Garden|Security|Balcony|Covered Parking|Pets Allowed|Pool,6,,6th of October,49285.71428571428
503206209,https://www.dubizzle.com.eg/en/ad/apartment-ground-floor-for-sale-in-patio-oro-view-pool-ID503206209.html,13500000.0,"EL Patio ORO Compound, 5th Settlement",Apartment,Resale,210.0,3.0,2.0,No,Cash,Ready,Pool|Private Garden|Balcony|Built in Kitchen Appliances,4,,5th Settlement,64285.71428571428
503207418,https://www.dubizzle.com.eg/en/ad/for-sale-apartments-in-fifth-square-ready-to-move-fully-finished-ID503207418.html,14000000.0,"Fifth Square Compound, 5th Settlement",Apartment,Primary,115.0,1.0,1.0,No,Installment,Ready,Private Garden|Electricity Meter|Covered Parking|Built in Kitchen Appliances|Pets Allowed|Pool,6,,5th Settlement,121739.13043478261
503104598,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-145-sq-m-in-kafr-abdo-saint-genie-street-ID503104598.html,6000000.0,"Kafr Abdo, Alexandria",Apartment,Resale,145.0,3.0,2.0,No,Cash,Ready,Water Meter|Electricity Meter,2,Alexandria,Kafr Abdo,41379.31034482759
503205997,https://www.dubizzle.com.eg/en/ad/double-view-duplex-for-sale-in-a-prime-location-with-a-50-discount-in-taj-city-compound-ID503205997.html,10000000.0,"Taj City Compound, 1st Settlement",Duplex,Primary,207.0,4.0,4.0,No,Cash or Installment,Ready,Private Garden|Security|Central A/C & heating|Balcony|Built in Kitchen Appliances|Covered Parking,6,,1st Settlement,48309.178743961354
503087673,https://www.dubizzle.com.eg/en/ad/apartment-ground-floor-in-alexandria-palm-beach-cash-or-installment-ID503087673.html,890000.0,"Nakheel, Alexandria",Apartment,Primary,100.0,2.0,1.0,No,Cash,Ready,Pets Allowed|Water Meter|Landline|Electricity Meter,4,Alexandria,Nakheel,8900.0
