listing_id,url,price_egp,location_text,type,ownership,area_sqm,bedrooms,bathrooms,furnished,payment_option,completion_status,amenities,amenities_count
503203361,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-sheikh-zayed-city-future-buildings-second-floor-with-kitchen-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%A7%D9%84%D8%B4%D9%8A%D8%AE-%D8%B2%D8%A7%D9%8A%D8%AF-%D8%B9%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%AF%D9%88%D8%B1-%D8%AB%D8%A7%D9%86%D9%8A-%D8%A8%D8%A7%D9%84%D9%85%D8%B7%D8%A8%D8%AE-ID503203361.html,3100000.0,"Sheikh Zayed, Giza",Apartment,Resale,71.0,2.0,1.0,No,Cash,Ready,Water Meter|Electricity Meter,2
503171146,https://www.dubizzle.com.eg/en/ad/apartment-3-bedrooms-and-2-bathrooms-in-al-ajami-al-makhil-alexandria-ID503171146.html,1180000.0,"Nakheel, Alexandria",Apartment,Primary,140.0,3.0,2.0,No,Cash or Installment,Ready,Electricity Meter|Water Meter|Covered Parking|Landline|Pets Allowed,5
502962823,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-244-m-smouha-turnout-from-fawzy-moaz-st-ID502962823.html,11250000.0,"Smoha, Alexandria",Apartment,Resale,244.0,3.0,2.0,No,Cash,Ready,Security|Electricity Meter|Water Meter|Balcony|Natural Gas|Elevator,6
503169689,https://www.dubizzle.com.eg/en/ad/your-new-home-is-waiting-for-you-in-the-heart-of-smouha-ID503169689.html,17400000.0,"Smoha, Alexandria",Apartment,Primary,290.0,4.0,3.0,No,Cash or Installment,Ready,Security|Electricity Meter|Water Meter|Balcony|Covered Parking|Pets Allowed,6
503082486,https://www.dubizzle.com.eg/en/ad/the-best-opportunity-a-ground-floor-apartment-with-a-large-garden-in-mountain-view-icity-october-the-lake-phase-prime-location-ID503082486.html,6900000.0,"Mountain View iCity Compound, 6th of October",Apartment,Resale,140.0,3.0,3.0,,Installment,Ready,Private Garden|Security|Balcony|Covered Parking|Pets Allowed|Pool,6
503206209,https://www.dubizzle.com.eg/en/ad/apartment-ground-floor-for-sale-in-patio-oro-view-pool-ID503206209.html,13500000.0,"EL Patio ORO Compound, 5th Settlement",Apartment,Resale,210.0,3.0,2.0,No,Cash,Ready,Pool|Private Garden|Balcony|Built in Kitchen Appliances,4
503207418,https://www.dubizzle.com.eg/en/ad/for-sale-apartments-in-fifth-square-ready-to-move-fully-finished-ID503207418.html,14000000.0,"Fifth Square Compound, 5th Settlement",Apartment,Primary,115.0,1.0,1.0,No,Installment,Ready,Private Garden|Electricity Meter|Covered Parking|Built in Kitchen Appliances|Pets Allowed|Pool,6
503104598,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-145-sq-m-in-kafr-abdo-saint-genie-street-ID503104598.html,6000000.0,"Kafr Abdo, Alexandria",Apartment,Resale,145.0,3.0,2.0,No,Cash,Ready,Water Meter|Electricity Meter,2
503205997,https://www.dubizzle.com.eg/en/ad/double-view-duplex-for-sale-in-a-prime-location-with-a-50-discount-in-taj-city-compound-ID503205997.html,10000000.0,"Taj City Compound, 1st Settlement",Duplex,Primary,207.0,4.0,4.0,No,Cash or Installment,Ready,Private Garden|Security|Central A/C & heating|Balcony|Built in Kitchen Appliances|Covered Parking,6
503087673,https://www.dubizzle.com.eg/en/ad/apartment-ground-floor-in-alexandria-palm-beach-cash-or-installment-ID503087673.html,890000.0,"Nakheel, Alexandria",Apartment,Primary,100.0,2.0,1.0,No,Cash,Ready,Pets Allowed|Water Meter|Landline|Electricity Meter,4
501675855,https://www.dubizzle.com.eg/en/ad/apartment-fully-finished-with-kitchen-ready-to-deliver-two-master-bedroom-in-new-giza-compound-ID501675855.html,15600000.0,"New Giza Compound, 6th of October",Apartment,Resale,173.0,2.0,3.0,Yes,Cash,Ready,Pets Allowed|Pool|Water Meter|Covered Parking,4
502984112,https://www.dubizzle.com.eg/en/ad/for-sale-apartment-140-m2-in-kafr-abdou-siqanah-bint-al-hussein-ID502984112.html,4500000.0,"Kafr Abdo, Alexandria",Apartment,Resale,140.0,3.0,1.0,No,Cash,Ready,Security|Electricity Meter|Water Meter|Balcony|Natural Gas,5
503176254,https://www.dubizzle.com.eg/en/ad/apartment-3-bedrooms-steps-from-fath-allah-and-the-main-street-in-al-ajami-al-nokhl-ID503176254.html,1180000.0,"Nakheel, Alexandria",Apartment,Primary,140.0,3.0,1.0,No,Cash,Ready,,0
503189115,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D8%B4%D8%B1%D9%82%D9%89-%D8%A8%D8%AD%D8%B1%D9%89-%D8%B4%D8%A7%D8%B1%D8%B96-%D9%81%D9%89-%D8%A7%D9%84%D8%B9%D8%AC%D9%85%D9%89-%D8%A7%D9%84%D9%86%D8%AE%D9%8A%D9%84-%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9-ID503189115.html,890000.0,"Nakheel, Alexandria",Apartment,Primary,110.0,2.0,1.0,No,Cash,Ready,,0
503200483,https://www.dubizzle.com.eg/en/ad/ultra-super-lux-apartment-in-3rd-district-october-ID503200483.html,3700000.0,"3rd District, 6th of October",Apartment,Resale,150.0,3.0,2.0,No,Cash,Ready,Security|Balcony,2
503161556,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-montaza-120-m-in-front-of-montaza-palace-ID503161556.html,2400000.0,"Al-Montaza Palace, Montazah",Apartment,Resale,120.0,3.0,1.0,No,Cash,Ready,Water Meter|Natural Gas|Electricity Meter,3
503201824,https://www.dubizzle.com.eg/en/ad/for-sale-3-bed-apartment-in-prime-location-near-to-mall-of-egypt-ID503201824.html,4400000.0,"Dreamland Compound, 6th of October",Apartment,Primary,192.0,3.0,3.0,No,Cash,Ready,Private Garden|Security|Electricity Meter|Water Meter|Covered Parking|Pets Allowed,6
503197611,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-125-sqm-sidi-beshr-steps-from-the-tram-ID503197611.html,2000000.0,"Sidi Beshr, Alexandria",Apartment,Resale,125.0,3.0,1.0,No,Cash,Ready,Security|Natural Gas|Water Meter|Balcony,4
502856764,https://www.dubizzle.com.eg/en/ad/apartment-180-m-in-the-first-area-nasr-city-ID502856764.html,7150000.0,"Nasr City, Cairo",Apartment,Resale,180.0,3.0,2.0,No,Cash,Ready,,0
503014012,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-260-sq-m-sporting-direct-from-the-tram-line-overall-sporting-club-view-ID503014012.html,14500000.0,"Sporting, Alexandria",Apartment,Primary,260.0,3.0,4.0,No,Cash,Ready,,0
503186981,https://www.dubizzle.com.eg/en/ad/with-only-15-down-live-in-a-mini-compound-in-north-house-bayt-alwatan-al-tajamou-al-khamis-installments-over-66-months-with-no-interest-a-few-steps-from-the-suez-road-and-90th-street-ID503186981.html,4400000.0,"Beit Al Watan, 5th Settlement",Apartment,Primary,155.0,3.0,2.0,No,Cash or Installment,Off-plan,Covered Parking|Electricity Meter,2
503207549,https://www.dubizzle.com.eg/en/ad/new-launch-now-own-your-apartmentroof-over-10year-ID503207549.html,7900000.0,"O West Compound, 6th of October",Apartment,Primary,77.0,1.0,2.0,No,Cash or Installment,Off-plan,Private Garden|Security|Central A/C & heating|Balcony|Built in Kitchen Appliances|Covered Parking,6
503207583,https://www.dubizzle.com.eg/en/ad/plot-for-sale-shot-literally-%D8%B1%D9%88%D9%81-%D9%84%D9%82%D8%B7%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A8%D9%86%D9%81%D8%B3%D8%AC-%D9%81%D9%8A%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-ID503207583.html,6483000.0,"El Banafseg 12, 1st Settlement",Roof,Resale,200.0,2.0,1.0,Yes,Cash,Ready,Private Garden|Security|Central A/C & heating|Balcony|Built in Kitchen Appliances|Covered Parking,6
502938118,https://www.dubizzle.com.eg/en/ad/apartment-in-district-5-with-discount-43-ID502938118.html,12400000.0,"District 5 Compound, 5th Settlement",Apartment,Primary,178.0,3.0,3.0,No,Cash or Installment,Off-plan,Private Garden|Electricity Meter|Covered Parking|Built in Kitchen Appliances|Pets Allowed|Pool,6
